# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=3,timestep=0.1
Bx,By,Bz,X,Y,Z
2.839642612380715292e+01,3.178978399629874829e+00,6.193890864184253608e+00,-1.296004575813988822e+03,-6.605193924126204365e+03,-2.211159698582673911e+02
2.839625501713708289e+01,3.178166205759241247e+00,6.197786591285406210e+00,-1.295376620682288831e+03,-6.605330350350262052e+03,-2.207758908715177029e+02
2.839608377618417734e+01,3.177353646662149256e+00,6.201682319734852733e+00,-1.294748650705258115e+03,-6.605466699891102508e+03,-2.204358090038655007e+02
2.839591240091639435e+01,3.176540722215473345e+00,6.205578049261311513e+00,-1.294120665889930933e+03,-6.605602972747245076e+03,-2.200957242597509662e+02
2.839574089130179146e+01,3.175727432296260755e+00,6.209473779593376541e+00,-1.293492666243378608e+03,-6.605739168917204552e+03,-2.197556366436141388e+02
2.839556924700141494e+01,3.174913776325413384e+00,6.213369511164665404e+00,-1.292864651290941538e+03,-6.605875288493773951e+03,-2.194155461598952002e+02
2.839539746859747282e+01,3.174099755092481878e+00,6.217265242293226635e+00,-1.292236622003083312e+03,-6.606011331286870700e+03,-2.190754528130343317e+02
2.839522555575125295e+01,3.173285368018932129e+00,6.221160973412450446e+00,-1.291608577905164793e+03,-6.606147297389336927e+03,-2.187353566074716582e+02
2.839505350843104736e+01,3.172470614982330961e+00,6.225056704250410355e+00,-1.290980519004254575e+03,-6.606283186799691975e+03,-2.183952575476475317e+02
2.839488132660526176e+01,3.171655495860359775e+00,6.228952434535139027e+00,-1.290352445307389189e+03,-6.606418999516454278e+03,-2.180551556380021054e+02
2.839470901024235872e+01,3.170840010530868724e+00,6.232848163994463064e+00,-1.289724356821643823e+03,-6.606554735538147725e+03,-2.177150508829757030e+02
2.839453655931080434e+01,3.170024158871826980e+00,6.236743892356147789e+00,-1.289096253554063878e+03,-6.606690394863294387e+03,-2.173749432870086480e+02
2.839436397377930277e+01,3.169207940761345377e+00,6.240639619347795986e+00,-1.288468135511715673e+03,-6.606825977490417245e+03,-2.170348328545412357e+02
2.839419125361643381e+01,3.168391356077656429e+00,6.244535344696916290e+00,-1.287840002701652793e+03,-6.606961483418037460e+03,-2.166947195900138752e+02
2.839401839879096556e+01,3.167574404699112556e+00,6.248431068130884114e+00,-1.287211855130931326e+03,-6.607096912644684380e+03,-2.163546034978669468e+02
2.839384540927170875e+01,3.166757086504250918e+00,6.252326789376947858e+00,-1.286583692806615772e+03,-6.607232265168881895e+03,-2.160144845825410016e+02
2.839367228502749541e+01,3.165939401371685058e+00,6.256222508162261775e+00,-1.285955515735755853e+03,-6.607367540989156623e+03,-2.156743628484763065e+02
2.839349902602731746e+01,3.165121349180213262e+00,6.260118224213814031e+00,-1.285327323925422434e+03,-6.607502740104036093e+03,-2.153342383001134408e+02
2.839332563193253023e+01,3.164302929349012583e+00,6.264013937963365031e+00,-1.284699116900827448e+03,-6.607637862605730334e+03,-2.149941109418929557e+02
2.839315210332745210e+01,3.163484142676292077e+00,6.267909647727949896e+00,-1.284070895632706424e+03,-6.607772908305359124e+03,-2.146539807782553453e+02
2.839297843987361958e+01,3.162664988581763925e+00,6.271805353939130079e+00,-1.283442659646265383e+03,-6.607907877295185244e+03,-2.143138478136412459e+02
2.839280464154026973e+01,3.161845466944749106e+00,6.275701056323400806e+00,-1.282814408948586333e+03,-6.608042769573733494e+03,-2.139737120524911802e+02
2.839263070829671420e+01,3.161025577644679618e+00,6.279596754607210229e+00,-1.282186143546717176e+03,-6.608177585139539588e+03,-2.136335734992458129e+02
