# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=0.1
Bx,By,Bz,X,Y,Z
3.426904254644635728e+01,5.959400205947967599e+00,-8.070063568524018294e+00,-6.662552267508595833e+03,9.513344461794852123e+02,-2.462732691181329017e+02
3.426844462466824837e+01,5.959490655374430901e+00,-8.064744841114080742e+00,-6.662657166540241633e+03,9.507003164601229628e+02,-2.459334124880495835e+02
3.426784640465061216e+01,5.959580869980763751e+00,-8.059426244967854203e+00,-6.662761988157571977e+03,9.500661763998380138e+02,-2.455935526485309310e+02
3.426724788610829364e+01,5.959670849996907549e+00,-8.054107779126356448e+00,-6.662866732428828982e+03,9.494320255199146459e+02,-2.452536896040148235e+02
3.426664906907766550e+01,5.959760595406370598e+00,-8.048789443816311007e+00,-6.662971399352875778e+03,9.487978638274653349e+02,-2.449138233589389984e+02
3.426604995359503647e+01,5.959850106192664754e+00,-8.043471239264439632e+00,-6.663075988928580045e+03,9.481636913296360945e+02,-2.445739539177412780e+02
3.426545053969697818e+01,5.959939382339427993e+00,-8.038153165697490721e+00,-6.663180501154809463e+03,9.475295080335391731e+02,-2.442340812848594567e+02
3.426485082741989174e+01,5.960028423830311617e+00,-8.032835223342228659e+00,-6.663284936030435347e+03,9.468953139462954596e+02,-2.438942054647314706e+02
3.426425081647870741e+01,5.960117230894199203e+00,-8.027517411239788458e+00,-6.663389293623333288e+03,9.462611085891296625e+02,-2.435543264617952559e+02
3.426365050755328667e+01,5.960205803024377857e+00,-8.022199731988244764e+00,-6.663493573794315125e+03,9.456268929409718567e+02,-2.432144442804887490e+02
3.426304990035865217e+01,5.960294140450044686e+00,-8.016882184628769892e+00,-6.663597776611307381e+03,9.449926665230424305e+02,-2.428745589252498007e+02
3.426244899493147500e+01,5.960382243155077475e+00,-8.011564769388170859e+00,-6.663701902073184101e+03,9.443584293424539737e+02,-2.425346704005166885e+02
3.426184779130853997e+01,5.960470111123446380e+00,-8.006247486493403898e+00,-6.663805950178812964e+03,9.437241814063638685e+02,-2.421947787107272916e+02
3.426124628952648976e+01,5.960557744339148201e+00,-8.000930336171215629e+00,-6.663909920927074381e+03,9.430899227218732221e+02,-2.418548838603198021e+02
3.426064448962227260e+01,5.960645142786297868e+00,-7.995613318648544521e+00,-6.664013814316845128e+03,9.424556532961014454e+02,-2.415149858537322416e+02
3.426004239131078322e+01,5.960732306692971605e+00,-7.990296432966737861e+00,-6.664117630415673375e+03,9.418213726502376630e+02,-2.411750846954028589e+02
3.425943999527280681e+01,5.960819235555267603e+00,-7.984979681723886280e+00,-6.664221369085038532e+03,9.411870817633116530e+02,-2.408351803897698744e+02
3.425883730122332338e+01,5.960905929601595155e+00,-7.979663063961277558e+00,-6.664325030392545159e+03,9.405527801564678612e+02,-2.404952729412714518e+02
3.425823430919939483e+01,5.960992388816264587e+00,-7.974346579905950527e+00,-6.664428614337069121e+03,9.399184678368675350e+02,-2.401553623543458684e+02
3.425763101923807596e+01,5.961078613183629749e+00,-7.969030229784850761e+00,-6.664532120917491739e+03,9.392841448116245147e+02,-2.398154486334314868e+02
3.425702743137652106e+01,5.961164602688166170e+00,-7.963714013824966464e+00,-6.664635550132696153e+03,9.386498110878527541e+02,-2.394755317829666126e+02
3.425642354532971723e+01,5.961250357557252855e+00,-7.958397931067765718e+00,-6.664738902049962235e+03,9.380154661866922652e+02,-2.391356118073896084e+02
3.425581936177903231e+01,5.961335877289428709e+00,-7.953081984111383562e+00,-6.664842176531326913e+03,9.373811110872576364e+02,-2.387956887111388369e+02
3.425521488043966656e+01,5.961421162112416461e+00,-7.947766171997328932e+00,-6.664945373644121901e+03,9.367467453106822859e+02,-2.384557624986528594e+02
3.425461010134892348e+01,5.961506212010886152e+00,-7.942450494952636220e+00,-6.665048493387229428e+03,9.361123688640948330e+02,-2.381158331743700671e+02
3.425400502454414209e+01,5.961591026969557561e+00,-7.937134953204425081e+00,-6.665151535759538092e+03,9.354779817546227605e+02,-2.377759007427289646e+02
3.425339965006273957e+01,5.961675606973246389e+00,-7.931819546979777869e+00,-6.665254500759931943e+03,9.348435839893805905e+02,-2.374359652081682270e+02
3.425279397794206204e+01,5.961759952006767449e+00,-7.926504276505793811e+00,-6.665357388387299579e+03,9.342091755755162694e+02,-2.370960265751262739e+02
3.425218800789736662e+01,5.961844062296786539e+00,-7.921189140824122177e+00,-6.665460198708607095e+03,9.335747560340823838e+02,-2.367560848480418940e+02
3.425158174061072458e+01,5.961927937344654538e+00,-7.915874142532914881e+00,-6.665562931586547165e+03,9.329403263443064134e+02,-2.364161400313535637e+02
3.425097517579744988e+01,5.962011577377285043e+00,-7.910559280673798099e+00,-6.665665587088128632e+03,9.323058860272693664e+02,-2.360761921295001002e+02
3.425036831349522259e+01,5.962094982379777974e+00,-7.905244555474063795e+00,-6.665768165212242820e+03,9.316714350901230546e+02,-2.357362411469201788e+02
3.424976115374162333e+01,5.962178152337265225e+00,-7.899929967160798761e+00,-6.665870665957783785e+03,9.310369735399680167e+02,-2.353962870880525315e+02
3.424915369657442454e+01,5.962261087234972834e+00,-7.894615515961241670e+00,-6.665973089323643762e+03,9.304025013839292342e+02,-2.350563299573360609e+02
3.424854594203134184e+01,5.962343787058176581e+00,-7.889301202102665833e+00,-6.666075435308717715e+03,9.297680186291440805e+02,-2.347163697592094707e+02
3.424793788982772469e+01,5.962426252032710927e+00,-7.883987024626834206e+00,-6.666177703979651596e+03,9.291335247966410407e+02,-2.343764064981116633e+02
3.424732954064638335e+01,5.962508481662753823e+00,-7.878672986131938671e+00,-6.666279895199794737e+03,9.284990208657376343e+02,-2.340364401784816266e+02
3.424672089420283072e+01,5.962590476174463916e+00,-7.873359085659844325e+00,-6.666382009035833107e+03,9.278645063574788310e+02,-2.336964708047581780e+02
3.424611195053494583e+01,5.962672235553337252e+00,-7.868045323437774741e+00,-6.666484045486673494e+03,9.272299812789732414e+02,-2.333564983813803906e+02
3.424550270968074273e+01,5.962753759784958696e+00,-7.862731699693100040e+00,-6.666586004551210863e+03,9.265954456373577841e+02,-2.330165229127871385e+02
3.424489317167825675e+01,5.962835048854934428e+00,-7.857418214653137944e+00,-6.666687886228341995e+03,9.259608994397706283e+02,-2.326765444034175800e+02
3.424428333656559431e+01,5.962916102748969216e+00,-7.852104868545196403e+00,-6.666789690516976407e+03,9.253263426933150413e+02,-2.323365628577107032e+02
3.424367320405814041e+01,5.962996921692134578e+00,-7.846791660411283509e+00,-6.666891417483436271e+03,9.246917749189796041e+02,-2.319965782801057230e+02
3.424306277483960770e+01,5.963077505191418659e+00,-7.841478592849616902e+00,-6.666993066991719388e+03,9.240571970962107571e+02,-2.316565906750416843e+02
3.424245204862543090e+01,5.963157853472203840e+00,-7.836165664902106975e+00,-6.667094639108210686e+03,9.234226087459592236e+02,-2.313166000469576602e+02
3.424184102545394381e+01,5.963237966520410716e+00,-7.830852876796208228e+00,-6.667196133831807856e+03,9.227880098753626044e+02,-2.309766064002919848e+02
3.424122970536347310e+01,5.963317844322019390e+00,-7.825540228759360062e+00,-6.667297551161418596e+03,9.221534004915694140e+02,-2.306366097394841006e+02
3.424061808839237386e+01,5.963397486863108554e+00,-7.820227721018941480e+00,-6.667398891095949693e+03,9.215187806016770082e+02,-2.302966100689732514e+02
3.424000617425614479e+01,5.963476894368048065e+00,-7.814915352617104460e+00,-6.667500153701460476e+03,9.208841497266308807e+02,-2.299566073931988228e+02
3.423939396363912380e+01,5.963556066346277440e+00,-7.809603126152061314e+00,-6.667601338842504447e+03,9.202495088459590988e+02,-2.296166017166002575e+02
3.423878145625690905e+01,5.963635003022506709e+00,-7.804291040665873425e+00,-6.667702446585192774e+03,9.196148574805702083e+02,-2.292765930436168560e+02
3.423816865214806171e+01,5.963713704383004632e+00,-7.798979096386111642e+00,-6.667803476928433156e+03,9.189801956376311409e+02,-2.289365813786881745e+02
3.423755555135119266e+01,5.963792170414125238e+00,-7.793667293540273100e+00,-6.667904429871136017e+03,9.183455233242486884e+02,-2.285965667262536556e+02
3.423694215390495543e+01,5.963870401102305152e+00,-7.788355632355890457e+00,-6.668005305412213602e+03,9.177108405475512427e+02,-2.282565490907527987e+02
3.423632845984808881e+01,5.963948396433995214e+00,-7.783044113060517688e+00,-6.668106103550579064e+03,9.170761473146818616e+02,-2.279165284766251887e+02
3.423571446889616254e+01,5.964026156632819209e+00,-7.777732734696438222e+00,-6.668206824351970681e+03,9.164414431465089592e+02,-2.275765048883103532e+02
3.423510018173425351e+01,5.964103681211061492e+00,-7.772421499861811967e+00,-6.668307467681603157e+03,9.158067290226498471e+02,-2.272364783302479054e+02
3.423448559807811620e+01,5.964180970392603420e+00,-7.767110407598932120e+00,-6.668408033605265700e+03,9.151720044640012475e+02,-2.268964488068774301e+02
3.423387071796667414e+01,5.964258024164194261e+00,-7.761799458135451246e+00,-6.668508522121874194e+03,9.145372694776925755e+02,-2.265564163226387109e+02
3.423325554143879401e+01,5.964334842512568180e+00,-7.756488651698962400e+00,-6.668608933230343609e+03,9.139025240708612046e+02,-2.262163808819712187e+02
3.423264006853352726e+01,5.964411425424598789e+00,-7.751177988517090611e+00,-6.668709266929595287e+03,9.132677682506163137e+02,-2.258763424893148795e+02
3.423202429928986135e+01,5.964487772887178352e+00,-7.745867468817557722e+00,-6.668809523218542381e+03,9.126330020241128977e+02,-2.255363011491092209e+02
3.423140823342350103e+01,5.964563885123129516e+00,-7.740557091642726206e+00,-6.668909702162614849e+03,9.119982249121645737e+02,-2.251962568657942256e+02
